op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,centrs,Lāčplēša 125,1,32.0,4.0,5.0,Renov.,Brick,All amenities,34900.0,56.9439002,24.1325617
For sale,Vecmīlgrāvis,Sniega 2,3,55.0,5.0,5.0,LT proj.,Panel,All amenities,43000.0,57.0337701,24.09840055
For sale,centrs,Tērbatas 60,4,94.0,4.0,5.0,P. kara,Masonry,All amenities,115000.0,56.9561495,24.1264378
For sale,Maskavas priekšpilsēta,Daugavpils 76,1,25.0,6.0,5.0,P. kara,Brick,All amenities,23000.0,56.9464309,24.14139621313611
For sale,centrs,Blaumaņa 9,4,105.0,4.0,6.0,Renov.,Masonry,All amenities,129360.0,56.953925600000005,24.1237609
For sale,Pļavnieki,Ilūkstes 41,2,60.0,2.0,2.0,Priv. m.,Masonry,All amenities,45000.0,56.93857315,24.194416215790003
For sale,centrs,Blaumaņa 9,1,33.0,1.0,6.0,Renov.,Masonry,All amenities,43956.0,56.953925600000005,24.1237609
For sale,centrs,Avotu 4,1,21.0,2.0,5.0,Renov.,Masonry,All amenities,37500.0,56.95081629999999,24.1271389
For sale,Ziepniekkalns,Ozolciema 18,1,46.0,2.0,9.0,119.,Panel,All amenities,45000.0,56.89859735,24.08767079999982
For sale,centrs,Blaumaņa 9,4,74.0,1.0,6.0,Renov.,Masonry,All amenities,87961.0,56.953925600000005,24.1237609
For sale,Citi,Gravas 17,2,44.0,4.0,5.0,Jaun.,Panel-Brick,All amenities,53000.0,56.9051509,24.22958879775552
For sale,Āgenskalns,Kuldīgas 45,1,20.0,2.0,3.0,P. kara,Wood,All amenities,14500.0,56.94521285,24.0558636462604
For sale,Citi,Parādes 22,2,41.0,3.0,5.0,Hrušč.,Masonry,All amenities,41900.0,57.03948115,24.0254633
For sale,centrs,Brīvības iela 165,2,61.0,3.0,5.0,Staļina,Masonry,All amenities,80000.0,56.96689285,24.146216338571435
For sale,Teika,Ķeguma 43,1,43.0,3.0,5.0,M. ģim.,Panel,All amenities,46200.0,56.96378645,24.19618744948581
For sale,Ziepniekkalns,Ozolciema 48,1,45.0,3.0,9.0,M. ģim.,Panel,All amenities,40700.0,56.90048705,24.10060742576641
For sale,centrs,Stabu 46,3,74.0,3.0,6.0,P. kara,Masonry,All amenities,135000.0,56.9543322,24.1313043698515
For sale,centrs,Artilērijas 3,2,46.0,3.0,5.0,P. kara,Masonry,All amenities,49000.0,56.96127015,24.13542191631238
For sale,centrs,Kalniņa 1,1,27.0,5.0,5.0,Renov.,Masonry,All amenities,59990.0,56.949246,24.12082191615919
For sale,centrs,Ganību d. 13,2,46.0,5.0,5.0,103.,Brick-Panel,All amenities,56800.0,56.9928319,24.1224521
For sale,Mežciems,Biķernieku 242,2,42.0,2.0,2.0,P. kara,Wood,All amenities,37500.0,56.9593644,24.29816964999999
For sale,Teika,Brīvības gatve 209,4,117.0,5.0,5.0,P. kara,Brick,All amenities,82000.0,56.97452760000001,24.170114897297303
For sale,Citi,Kuģu 26,3,60.0,3.0,5.0,Jaun.,Brick-Panel,All amenities,120000.0,56.94553165,24.09232737837809
For sale,centrs,Blaumaņa 8,3,107.0,5.0,5.0,P. kara,Brick,All amenities,265000.0,56.95523395,24.12155999229823
For sale,Iļģuciems,Reņģes 70 k2,2,45.0,1.0,3.0,Hrušč.,Brick,All amenities,36000.0,56.9657966,24.0629937
For sale,Dzegužkalns,Dzegužu 1,2,41.0,3.0,3.0,Hrušč.,Masonry,All amenities,38000.0,56.95863035,24.062260503177363
For sale,Ziepniekkalns,Komētas 18,4,140.0,4.0,4.0,Jaun.,Panel,All amenities,228000.0,56.91406475,24.126730620738968
For sale,centrs,Čaka 52/2,4,137.0,3.0,5.0,P. kara,Masonry,All amenities,149000.0,56.9626863,24.1480584
For sale,Pļavnieki,Jasmuižas 22,4,118.0,1.0,3.0,Jaun.,Brick-Panel,All amenities,199000.0,56.93715885,24.21463304292045
For sale,Ķengarags,Salaspils 16b,3,75.0,6.0,12.0,Čehu pr.,Brick,All amenities,67000.0,56.91941965,24.183866848156946
For sale,Vecrīga,Mārstaļu 16,3,101.0,3.0,6.0,Renov.,Masonry,All amenities,220000.0,56.9451747,24.1075711
For sale,centrs,Barona 60,1,43.0,3.0,3.0,P. kara,Wood,All amenities,45000.0,56.9550189,24.1293006
For sale,Maskavas priekšpilsēta,Daugavpils 8,4,95.0,1.0,2.0,Specpr.,Wood,All amenities,29790.0,56.939892500000006,24.14141985484498
For sale,Āgenskalns,Melnsila 14,3,64.0,2.0,4.0,Renov.,Wood,All amenities,102000.0,56.94402935,24.06663931607056
For sale,Purvciems,Ilūkstes 109,1,37.0,1.0,9.0,467.,Panel,All amenities,32000.0,56.95435629999999,24.19854765
For sale,Pļavnieki,Pavasara g. 1,3,63.0,2.0,9.0,602.,Panel,All amenities,67500.0,56.9346184,24.1980807
