id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
90,Latvia,Riga,Imanta,Anniņmuižas 38,3,81.0,8,Jaunais projekts,118000.0,1456.79,1,56.96097,24.01567,38.0,Anniņmuižas bulvāris,2019-06-07 08:01:38,2019-06-16 08:01:11
92,Latvia,Riga,Centrs,Kalniņa 1,1,19.0,2,Renovēts,51490.0,2710.0,1,56.94935,24.12075,1.0,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-13 08:01:36
93,Latvia,Riga,Centrs,Kalniņa 1,1,27.0,4,Renovēts,77690.0,2877.41,1,56.94935,24.12075,1.0,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-16 08:01:10
94,Latvia,Riga,Centrs,Kalniņa 1,1,27.0,2,Renovēts,74590.0,2762.59,1,56.94935,24.12075,1.0,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-13 08:01:36
96,Latvia,Riga,Centrs,Vīlandes 18,3,101.0,3,Pirmskara projekts,154025.0,1525.0,1,56.96183,24.10225,18.0,Vīlandes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
97,Latvia,Riga,Āgenskalns,Raņķa d. 9,3,115.0,6,Renovēts,178250.0,1550.0,1,56.94232,24.08864,9.0,Raņķa dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
99,Latvia,Riga,Centrs,Ģertrūdes 113,2,43.0,3,Pirmskara projekts,62000.0,1441.86,1,56.94875,24.13856,113.0,Ģertrūdes iela,2019-06-07 08:01:38,2019-06-16 08:01:10
100,Latvia,Riga,Zolitūde,Lejiņa 16,1,46.0,6,119. sērija,45500.0,989.13,1,56.94712,24.02307,16.0,Paula Lejiņa iela,2019-06-07 08:01:38,2019-06-16 08:01:10
101,Latvia,Riga,Sarkandaugava,Alekša 11,1,27.0,2,Pirmskara projekts,18000.0,666.67,1,56.9936,24.12479,11.0,Alekša iela,2019-06-07 08:01:38,2019-06-16 08:01:11
103,Latvia,Riga,Imanta,Dammes 1,3,62.0,8,602. sērija,53500.0,862.9,1,56.96106,24.0127,1.0,Dammes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
104,Latvia,Riga,Mežaparks,Ķempes 4,3,140.0,8,Jaunais projekts,199000.0,1421.43,1,56.99447,24.16623,4.0,Mirdzas Ķempes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
105,Latvia,Riga,Maskavas priekšpilsēta,Daugavpils 49,1,23.0,4,Pirmskara projekts,12000.0,521.74,1,56.94555,24.14086,49.0,Daugavpils iela,2019-06-07 08:01:38,2019-06-16 08:01:11
106,Latvia,Riga,Imanta,Dammes 1,2,50.0,8,602. sērija,55000.0,1100.0,1,56.96106,24.0127,1.0,Dammes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
107,Latvia,Riga,Centrs,Čaka 68,4,110.0,6,Pirmskara projekts,119000.0,1081.82,1,56.95549,24.13532,68.0,Aleksandra Čaka iela,2019-06-07 08:01:38,2019-06-16 08:01:11
108,Latvia,Riga,Mežaparks,Ezermalas 2,1,32.0,9,Čehu projekts,32000.0,1000.0,1,56.99268,24.19243,2.0,Ezermalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
109,Latvia,Riga,Purvciems,Dzelzavas 2,3,92.0,2,Pirmskara projekts,85000.0,923.91,1,56.96449,24.16661,2.0,Dzelzavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
111,Latvia,Riga,Imanta,Anniņmuižas 28,5,104.0,1,Specprojekts,93000.0,894.23,1,56.96013,24.02049,28.0,Anniņmuižas bulvāris,2019-06-07 08:01:38,2019-06-16 08:01:11
112,Latvia,Riga,Teika,Ieriķu 41,3,60.0,4,Lietuviešu projekts,79000.0,1316.67,1,56.96622,24.18247,41.0,Ieriķu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
113,Latvia,Riga,Purvciems,Dzelzavas 40,3,76.0,6,104. sērija,71600.0,942.11,1,56.95753,24.17906,40.0,Dzelzavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
114,Latvia,Riga,Citi,Jelgavas 63,4,104.0,1,Jaunais projekts,152000.0,1461.54,1,56.92827,24.09294,63.0,Jelgavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
116,Latvia,Riga,Purvciems,Ieriķu 33,2,46.0,5,Lietuviešu projekts,32000.0,695.65,1,56.96694,24.17851,33.0,Ieriķu iela,2019-06-07 08:01:38,2019-06-07 08:01:38
117,Latvia,Riga,Centrs,Skolas 25,4,126.0,4,Pirmskara projekts,185000.0,1468.25,1,56.95923,24.12094,25.0,Skolas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
118,Latvia,Riga,Vecmīlgrāvis,Emmas 28,2,31.0,1,Renovēts,39168.0,1263.48,1,57.03219,24.11679,28.0,Emmas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
119,Latvia,Riga,Vecrīga,M. Smilšu 11,1,24.0,4,Pirmskara projekts,58000.0,2416.67,1,56.95019,24.10922,11.0,Mazā Smilšu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
120,Latvia,Riga,Centrs,Cēsu 43,3,98.0,5,Pirmskara projekts,96000.0,979.59,1,56.96632,24.14414,43.0,Cēsu iela,2019-06-07 08:01:38,2019-06-11 08:00:47
122,Latvia,Riga,Centrs,Zaļā 3,2,68.0,2,Pirmskara projekts,110000.0,1617.65,1,56.95934,24.11494,3.0,Zaļā iela,2019-06-07 08:01:38,2019-06-16 08:01:11
123,Latvia,Riga,Maskavas priekšpilsēta,Rēznas 7,2,39.0,3,Hruščova projekts,33300.0,853.85,1,56.93663,24.16231,7.0,Rēznas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
124,Latvia,Riga,Centrs,Blaumaņa 12,2,47.0,5,Renovēts,117918.0,2508.89,1,56.95464,24.12233,12.0,Blaumaņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
125,Latvia,Riga,Iļģuciems,Saulgožu 13,1,30.0,5,Hruščova projekts,25000.0,833.33,1,56.96533,24.04792,13.0,Saulgožu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
126,Latvia,Riga,Centrs,Tallinas 77,3,75.0,2,Pirmskara projekts,89000.0,1186.67,1,56.95758,24.14765,77.0,Tallinas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
127,Latvia,Riga,Vecrīga,Alksnāja 10,2,94.0,2,Renovēts,200000.0,2127.66,1,56.94617,24.11137,10.0,Alksnāja iela,2019-06-07 08:01:38,2019-06-16 08:01:11
128,Latvia,Riga,Purvciems,Dzelzavas 88,3,63.0,4,Lietuviešu projekts,62000.0,984.13,1,56.95408,24.20575,88.0,Dzelzavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
129,Latvia,Riga,Imanta,Kurzemes pr. 18,2,43.0,4,Specprojekts,59892.0,1392.84,1,56.95854,24.03387,18.0,Kurzemes prospekts,2019-06-07 08:01:38,2019-06-16 08:01:11
130,Latvia,Riga,Jugla,Baltezera 1,3,58.0,4,Specprojekts,50000.0,862.07,1,56.9927,24.24006,1.0,Baltezera iela,2019-06-07 08:01:38,2019-06-16 08:01:11
131,Latvia,Riga,Centrs,Hospitāļu 8,4,107.0,6,Jaunais projekts,186500.0,1742.99,1,56.97166,24.13712,8.0,Hospitāļu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
132,Latvia,Riga,Bolderāja,Gaigalas 23,1,34.0,1,103. sērija,24500.0,720.59,1,57.02877,24.05134,23.0,Gaigalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
133,Latvia,Riga,Pļavnieki,Ilūkstes 32,3,76.0,7,119. sērija,74000.0,973.68,1,56.94511,24.19758,32.0,Ilūkstes iela,2019-06-07 08:01:38,2019-06-10 08:01:03
134,Latvia,Riga,Vecmīlgrāvis,Melīdas 11,4,78.0,3,467. sērija,70000.0,897.44,1,57.03243,24.11005,11.0,Melīdas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
135,Latvia,Riga,Ķengarags,Višķu 13,2,44.0,2,Lietuviešu projekts,45500.0,1034.09,1,56.8999,24.21246,13.0,Višķu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
136,Latvia,Riga,Purvciems,Lielvārdes 127,2,49.0,4,Lietuviešu projekts,52990.0,1081.43,1,56.95591,24.20507,127.0,Lielvārdes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
137,Latvia,Riga,Purvciems,Pūces 31,3,89.0,2,Jaunais projekts,180000.0,2022.47,1,56.9547,24.18725,31.0,Pūces iela,2019-06-07 08:01:38,2019-06-16 08:01:11
138,Latvia,Riga,Imanta,Kurzemes pr. 10,3,56.0,3,Lietuviešu projekts,60500.0,1080.36,1,56.95602,24.03408,10.0,Kurzemes prospekts,2019-06-07 08:01:38,2019-06-16 08:01:11
139,Latvia,Riga,Centrs,Kalniņa 2,2,62.0,6,Pirmskara projekts,135000.0,2177.42,1,56.94917,24.12147,2.0,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
141,Latvia,Riga,Pļavnieki,Grestes 12,2,49.0,5,602. sērija,51000.0,1040.82,1,56.93533,24.20947,12.0,JAAa Grestes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
142,Latvia,Riga,Jugla,Juglas 5,2,42.0,1,Lietuviešu projekts,47500.0,1130.95,1,56.98807,24.2439,5.0,Juglas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
144,Latvia,Riga,Iļģuciems,Bēnes 2,3,60.0,4,Lietuviešu projekts,53400.0,890.0,1,56.9659,24.06455,2.0,Bēnes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
145,Latvia,Riga,Mežciems,Hipokrāta 47,3,63.0,6,602. sērija,54500.0,865.08,1,56.96149,24.23565,47.0,Hipokrāta iela,2019-06-07 08:01:38,2019-06-16 08:01:10
146,Latvia,Riga,Maskavas priekšpilsēta,Daugavpils 26,1,18.0,2,Specprojekts,13000.0,722.22,1,56.94177,24.14131,26.0,Daugavpils iela,2019-06-07 08:01:38,2019-06-16 08:01:11
147,Latvia,Riga,Maskavas priekšpilsēta,Daugavpils 26,2,33.0,2,Specprojekts,16000.0,484.85,1,56.94177,24.14131,26.0,Daugavpils iela,2019-06-07 08:01:38,2019-06-16 08:01:11
148,Latvia,Riga,Ķengarags,Maskavas 258,2,46.0,1,Lietuviešu projekts,47700.0,1036.96,1,56.90948,24.17752,258.0,Maskavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
149,Latvia,Riga,Purvciems,Raunas 41,3,93.0,4,Jaunais projekts,176500.0,1897.85,1,56.96746,24.18471,41.0,Raunas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
150,Latvia,Riga,Purvciems,Nīcgales 25,1,36.0,2,Specprojekts,42300.0,1175.0,1,56.95424,24.17562,25.0,Nīcgales iela,2019-06-07 08:01:38,2019-06-16 08:01:11
151,Latvia,Riga,Citi,Jaunsaules 1,1,43.0,1,Renovēts,65100.0,1513.95,1,56.95522,24.05094,1.0,Jaunsaules iela,2019-06-07 08:01:38,2019-06-16 08:01:11
152,Latvia,Riga,Pļavnieki,Lubānas 123,3,60.0,1,Specprojekts,88000.0,1466.67,1,56.93272,24.20497,123.0,Lubānas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
153,Latvia,Riga,Jugla,Juglas 10,2,104.0,5,Jaunais projekts,130000.0,1250.0,1,56.98655,24.24696,10.0,Juglas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
154,Latvia,Riga,Centrs,Katrīnas 17,3,106.0,5,Jaunais projekts,155000.0,1462.26,1,56.97063,24.10159,17.0,Katrīnas dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
